Date	State
11-16-16	NY
11-16-16	ON
11-16-16	ID
11-16-16	KY
11-16-16	MN
11-16-16	AZ
11-16-16	AZ
11-16-16	OR
11-16-16	OR
11-16-16	IL
11-16-16	AB
11-16-16	FL
11-16-16	NJ
11-16-16	OR
11-16-16	WI
11-16-16	WI
11-16-16	TN
11-16-16	WA
11-15-16	IA
11-15-16	AZ
11-15-16	OR
11-15-16	WI
11-15-16	WA
11-15-16	SK
11-15-16	WI
11-15-16	IL
11-15-16	WI
11-15-16	OK
11-15-16	AZ
11-15-16	OH
11-15-16	MS
11-15-16	OR
11-14-16	OR
11-14-16	CA
11-14-16	CO
11-14-16	FL
11-14-16	NE
11-14-16	TX
11-14-16	FL
11-14-16	WI
11-14-16	OH
11-14-16	SC
11-14-16	WI
11-14-16	NC
11-14-16	ON
11-14-16	CA
11-14-16	AZ
11-13-16	VT
11-13-16	PA
11-13-16	VA
11-13-16	FL
11-13-16	MD
11-13-16	ON
11-13-16	SD
11-13-16	OH
11-13-16	AZ
11-13-16	IN
11-13-16	AB
11-13-16	CA
11-13-16	PA
11-13-16	MD
11-13-16	IL
11-13-16	IL
11-13-16	IA
11-13-16	MI
11-16-13	CA
12-11-16	TN
12-11-16	TN
12-11-16	WA
12-11-16	MD
12-11-16	MD
12-11-16	MI
12-11-16	IL
12-11-16	FL
12-11-16	AZ
12-11-16	NC
12-11-16	AR
12-11-16	MD
12-11-16	VA
12-11-16	ID
12-11-16	MI
12-11-16	KY
12-11-16	NY
11-11-16	DE
11-11-16	AL
11-11-16	MN
11-11-16	IA
11-11-16	AK
11-11-16	CA
11-11-16	CA
11-11-16	NC
11-11-16	AZ
11-11-16	FL
11-11-16	UT
11-11-16	FL
11-11-16	NH
11-11-16	MS
11-11-16	CO
11-11-16	OR
11-11-16	OR
11-11-16	IL
11-11-16	MA
11-11-16	FL
11-11-16	CO
11-11-16	CA
11-11-16	OR
10-11-16	NY
10-11-16	CA
10-11-16	IA
10-11-16	IA
10-11-16	WI
10-11-16	TN
10-11-16	SK
10-11-16	VA
10-11-16	CA
10-11-16	IN
10-11-16	CO
10-11-16	IN
10-11-16	AZ
10-11-16	AZ
10-11-16	AZ
10-11-16	AZ
10-11-16	AZ
10-11-16	TX
10-11-16	CA
10-11-16	PA
10-11-16	WA
10-11-16	OH
10-11-16	MN
10-11-16	WI
10-11-16	AZ
10-11-16	VA
10-11-16	SK
10-11-16	SK
10-11-16	CA
9-11-16	NC
9-11-16	SD
9-11-16	WA
9-11-16	CA
9-11-16	IL
9-11-16	WA
9-11-16	SC
9-11-16	SK
9-11-16	BC
9-11-16	MT
9-11-16	IN
9-11-16	MA
9-11-16	MI
9-11-16	CA
9-11-16	OR
9-11-16	OH
9-11-16	MO
9-11-16	MO
9-11-16	MO
9-11-16	CO
